feature,mean_abs_shap,mean_shap,rank
poverty_rate_lag1,4.479818024786876,-0.3920912064498231,1
hdi_lag1,0.36220679238434783,-0.05985523329983816,2
aps_1315_lag1,0.07194766783294466,-0.002041532765732886,3
expected_years_schooling_lag1,0.06841519698395974,-0.03848259152965003,4
log_poverty_line_lag1,0.060995583273614686,0.01758425702221215,5
mean_years_schooling_lag1,0.040811786024127064,-0.025793741182809454,6
tpak_lag1,0.03557041984593419,-0.0005604128280589117,7
tpt_lag1,0.021583859133963733,0.004389988749925421,8
