province,year,feature,feature_value,shap_value,abs_shap,ensemble_base_value,y_predicted
ACEH,2025,poverty_rate_lag1,13.435,2.5038324057993897,2.5038324057993897,11.04970299745474,13.258760549623286
ACEH,2025,hdi_lag1,74.7,-0.22725161441029548,0.22725161441029548,11.04970299745474,13.258760549623286
ACEH,2025,tpt_lag1,5.890000000000001,0.032487508286660735,0.032487508286660735,11.04970299745474,13.258760549623286
ACEH,2025,tpak_lag1,64.945,-0.013824415239573635,0.013824415239573635,11.04970299745474,13.258760549623286
ACEH,2025,aps_1315_lag1,97.72,-0.06047344396245585,0.06047344396245585,11.04970299745474,13.258760549623286
ACEH,2025,mean_years_schooling_lag1,9.95,-0.028803878436108654,0.028803878436108654,11.04970299745474,13.258760549623286
ACEH,2025,expected_years_schooling_lag1,14.39,-0.022383577540685144,0.022383577540685144,11.04970299745474,13.258760549623286
ACEH,2025,log_poverty_line_lag1,13.405345924364475,0.02547619869444337,0.02547619869444337,11.04970299745474,13.258760549623286
ACEH,2026,poverty_rate_lag1,13.258760549623286,2.174872555111474,2.174872555111474,11.04970299745474,12.953304651584995
ACEH,2026,hdi_lag1,75.09333333333325,-0.22269964889190708,0.22269964889190708,11.04970299745474,12.953304651584995
ACEH,2026,tpt_lag1,5.769999999999982,0.021719843433248304,0.021719843433248304,11.04970299745474,12.953304651584995
ACEH,2026,tpak_lag1,65.6916666666666,-0.016477859489297857,0.016477859489297857,11.04970299745474,12.953304651584995
ACEH,2026,aps_1315_lag1,97.55999999999997,-0.05377178716642522,0.05377178716642522,11.04970299745474,12.953304651584995
ACEH,2026,mean_years_schooling_lag1,10.050000000000011,-0.02717669948027028,0.02717669948027028,11.04970299745474,12.953304651584995
ACEH,2026,expected_years_schooling_lag1,14.400000000000004,-0.023271504535804215,0.023271504535804215,11.04970299745474,12.953304651584995
ACEH,2026,log_poverty_line_lag1,13.439294480976116,0.050408036978632775,0.050408036978632775,11.04970299745474,12.953304651584995
BALI,2025,poverty_rate_lag1,3.9,-6.414813025752384,6.414813025752384,11.04970299745474,4.10944242090958
BALI,2025,hdi_lag1,78.01,-0.3055497429834739,0.3055497429834739,11.04970299745474,4.10944242090958
BALI,2025,tpt_lag1,3.21,-0.012972292601709744,0.012972292601709744,11.04970299745474,4.10944242090958
BALI,2025,tpak_lag1,77.13499999999999,0.015487738955426093,0.015487738955426093,11.04970299745474,4.10944242090958
BALI,2025,aps_1315_lag1,97.95,-0.05601739442115619,0.05601739442115619,11.04970299745474,4.10944242090958
BALI,2025,mean_years_schooling_lag1,9.87,-0.041961388167821315,0.041961388167821315,11.04970299745474,4.10944242090958
BALI,2025,expected_years_schooling_lag1,13.62,-0.09599908426373371,0.09599908426373371,11.04970299745474,4.10944242090958
BALI,2025,log_poverty_line_lag1,13.261095224195765,-0.028435613297615646,0.028435613297615646,11.04970299745474,4.10944242090958
BALI,2026,poverty_rate_lag1,4.10944242090958,-6.341277589776371,6.341277589776371,11.04970299745474,4.267468822534465
BALI,2026,hdi_lag1,78.66999999999996,-0.3042625879136761,0.3042625879136761,11.04970299745474,4.267468822534465
BALI,2026,tpt_lag1,2.1175000000000637,-0.05828247123521319,0.05828247123521319,11.04970299745474,4.267468822534465
BALI,2026,tpak_lag1,78.88999999999987,0.02975252334879954,0.02975252334879954,11.04970299745474,4.267468822534465
BALI,2026,aps_1315_lag1,97.815,-0.05474619129327092,0.05474619129327092,11.04970299745474,4.267468822534465
BALI,2026,mean_years_schooling_lag1,10.014999999999986,-0.04448558472364937,0.04448558472364937,11.04970299745474,4.267468822534465
BALI,2026,expected_years_schooling_lag1,13.710000000000008,-0.009045185804789241,0.009045185804789241,11.04970299745474,4.267468822534465
BALI,2026,log_poverty_line_lag1,13.29724766054104,0.0001131981723993293,0.0001131981723993293,11.04970299745474,4.267468822534465
BANTEN,2025,poverty_rate_lag1,5.77,-5.121668128974507,5.121668128974507,11.04970299745474,5.531373050056949
BANTEN,2025,hdi_lag1,75.77,-0.28651081946829543,0.28651081946829543,11.04970299745474,5.531373050056949
BANTEN,2025,tpt_lag1,7.744999999999999,-0.0036142641207355074,0.0036142641207355074,11.04970299745474,5.531373050056949
BANTEN,2025,tpak_lag1,65.19,-0.02705798277206608,0.02705798277206608,11.04970299745474,5.531373050056949
BANTEN,2025,aps_1315_lag1,96.65,-0.021271134854749213,0.021271134854749213,11.04970299745474,5.531373050056949
BANTEN,2025,mean_years_schooling_lag1,9.55,-0.03295024303216294,0.03295024303216294,11.04970299745474,5.531373050056949
BANTEN,2025,expected_years_schooling_lag1,13.1,-0.07078964181249521,0.07078964181249521,11.04970299745474,5.531373050056949
BANTEN,2025,log_poverty_line_lag1,13.401218607653153,0.045532709426130843,0.045532709426130843,11.04970299745474,5.531373050056949
BANTEN,2026,poverty_rate_lag1,5.531373050056949,-5.3841403909611385,5.3841403909611385,11.04970299745474,5.3104090429737365
BANTEN,2026,hdi_lag1,76.31499999999994,-0.2819441250816188,0.2819441250816188,11.04970299745474,5.3104090429737365
BANTEN,2026,tpt_lag1,7.1200000000000045,-0.007244234001388354,0.007244234001388354,11.04970299745474,5.3104090429737365
BANTEN,2026,tpak_lag1,65.76750000000004,-0.01876835163883995,0.01876835163883995,11.04970299745474,5.3104090429737365
BANTEN,2026,aps_1315_lag1,96.59000000000002,-0.015427176474049361,0.015427176474049361,11.04970299745474,5.3104090429737365
BANTEN,2026,mean_years_schooling_lag1,9.644999999999982,-0.026818697628153653,0.026818697628153653,11.04970299745474,5.3104090429737365
BANTEN,2026,expected_years_schooling_lag1,13.134999999999998,-0.07586841765890107,0.07586841765890107,11.04970299745474,5.3104090429737365
BANTEN,2026,log_poverty_line_lag1,13.436806052209135,0.07091790346247788,0.07091790346247788,11.04970299745474,5.3104090429737365
BENGKULU,2025,poverty_rate_lag1,13.04,2.1126598525740015,2.1126598525740015,11.04970299745474,12.947086341141592
BENGKULU,2025,hdi_lag1,74.3,-0.2056370054618497,0.2056370054618497,11.04970299745474,12.947086341141592
BENGKULU,2025,tpt_lag1,3.315,0.01838023028413511,0.01838023028413511,11.04970299745474,12.947086341141592
BENGKULU,2025,tpak_lag1,71.815,0.02138732025043555,0.02138732025043555,11.04970299745474,12.947086341141592
BENGKULU,2025,aps_1315_lag1,97.91,-0.07013867123742981,0.07013867123742981,11.04970299745474,12.947086341141592
BENGKULU,2025,mean_years_schooling_lag1,9.4,-0.03445395734042997,0.03445395734042997,11.04970299745474,12.947086341141592
BENGKULU,2025,expected_years_schooling_lag1,13.75,-0.02071533121062915,0.02071533121062915,11.04970299745474,12.947086341141592
BENGKULU,2025,log_poverty_line_lag1,13.417947397074535,0.07590132597187098,0.07590132597187098,11.04970299745474,12.947086341141592
BENGKULU,2026,poverty_rate_lag1,12.947086341141592,2.0259032003325834,2.0259032003325834,11.04970299745474,12.740637658940944
BENGKULU,2026,hdi_lag1,74.87,-0.2261249789978485,0.2261249789978485,11.04970299745474,12.740637658940944
BENGKULU,2026,tpt_lag1,3.1300000000000523,-0.02651511330555769,0.02651511330555769,11.04970299745474,12.740637658940944
BENGKULU,2026,tpak_lag1,72.35000000000002,-0.034943102004703776,0.034943102004703776,11.04970299745474,12.740637658940944
BENGKULU,2026,aps_1315_lag1,98.11999999999995,-0.07394598145624522,0.07394598145624522,11.04970299745474,12.740637658940944
BENGKULU,2026,mean_years_schooling_lag1,9.444999999999993,-0.034862837846240446,0.034862837846240446,11.04970299745474,12.740637658940944
BENGKULU,2026,expected_years_schooling_lag1,13.784999999999997,-0.013936261400749255,0.013936261400749255,11.04970299745474,12.740637658940944
BENGKULU,2026,log_poverty_line_lag1,13.452802806305677,0.07535942620675382,0.07535942620675382,11.04970299745474,12.740637658940944
DI YOGYAKARTA,2025,poverty_rate_lag1,10.615,-0.45265521113278084,0.45265521113278084,11.04970299745474,10.306067231098943
DI YOGYAKARTA,2025,hdi_lag1,81.09,-0.25605511472686415,0.25605511472686415,11.04970299745474,10.306067231098943
DI YOGYAKARTA,2025,tpt_lag1,3.635,0.009272649339201255,0.009272649339201255,11.04970299745474,10.306067231098943
DI YOGYAKARTA,2025,tpak_lag1,73.755,0.06580370343268835,0.06580370343268835,11.04970299745474,10.306067231098943
DI YOGYAKARTA,2025,aps_1315_lag1,98.88,-0.064092210837887,0.064092210837887,11.04970299745474,10.306067231098943
DI YOGYAKARTA,2025,mean_years_schooling_lag1,10.23,-0.0411175330033185,0.0411175330033185,11.04970299745474,10.306067231098943
DI YOGYAKARTA,2025,expected_years_schooling_lag1,15.7,-0.013277268438187623,0.013277268438187623,11.04970299745474,10.306067231098943
DI YOGYAKARTA,2025,log_poverty_line_lag1,13.317771431246149,0.00848492923925216,0.00848492923925216,11.04970299745474,10.306067231098943
DI YOGYAKARTA,2026,poverty_rate_lag1,10.306067231098943,-0.5161013116144336,0.5161013116144336,11.04970299745474,10.229282604043206
DI YOGYAKARTA,2026,hdi_lag1,81.52500000000009,-0.2564222676545813,0.2564222676545813,11.04970299745474,10.229282604043206
DI YOGYAKARTA,2026,tpt_lag1,3.2425000000000637,0.0059395223557729354,0.0059395223557729354,11.04970299745474,10.229282604043206
DI YOGYAKARTA,2026,tpak_lag1,74.05000000000001,0.06613245977222369,0.06613245977222369,11.04970299745474,10.229282604043206
DI YOGYAKARTA,2026,aps_1315_lag1,98.60500000000002,-0.06324994478147518,0.06324994478147518,11.04970299745474,10.229282604043206
DI YOGYAKARTA,2026,mean_years_schooling_lag1,10.289999999999992,-0.04124660602539015,0.04124660602539015,11.04970299745474,10.229282604043206
DI YOGYAKARTA,2026,expected_years_schooling_lag1,15.71,-0.015947750569962185,0.015947750569962185,11.04970299745474,10.229282604043206
DI YOGYAKARTA,2026,log_poverty_line_lag1,13.357293585897843,0.00047469524606833305,0.00047469524606833305,11.04970299745474,10.229282604043206
DKI JAKARTA,2025,poverty_rate_lag1,4.22,-6.313825259633113,6.313825259633113,11.04970299745474,4.322059274920724
DKI JAKARTA,2025,hdi_lag1,83.55,-0.2895384339418762,0.2895384339418762,11.04970299745474,4.322059274920724
DKI JAKARTA,2025,tpt_lag1,7.050000000000001,0.012087632174041595,0.012087632174041595,11.04970299745474,4.322059274920724
DKI JAKARTA,2025,tpak_lag1,64.14,-0.018225944446326074,0.018225944446326074,11.04970299745474,4.322059274920724
DKI JAKARTA,2025,aps_1315_lag1,98.17,-0.053185370254540246,0.053185370254540246,11.04970299745474,4.322059274920724
DKI JAKARTA,2025,mean_years_schooling_lag1,11.49,-0.032450738364312504,0.032450738364312504,11.04970299745474,4.322059274920724
DKI JAKARTA,2025,expected_years_schooling_lag1,13.51,-0.08167491368815961,0.08167491368815961,11.04970299745474,4.322059274920724
DKI JAKARTA,2025,log_poverty_line_lag1,13.636008821736755,0.04916860888702578,0.04916860888702578,11.04970299745474,4.322059274920724
DKI JAKARTA,2026,poverty_rate_lag1,4.322059274920724,-6.2716216845309285,6.2716216845309285,11.04970299745474,4.413778138983955
DKI JAKARTA,2026,hdi_lag1,84.19999999999993,-0.29051359855009073,0.29051359855009073,11.04970299745474,4.413778138983955
DKI JAKARTA,2026,tpt_lag1,6.322499999999991,0.0014857351913058975,0.0014857351913058975,11.04970299745474,4.413778138983955
DKI JAKARTA,2026,tpak_lag1,64.27249999999998,-0.010763079788464944,0.010763079788464944,11.04970299745474,4.413778138983955
DKI JAKARTA,2026,aps_1315_lag1,97.91500000000002,-0.05068698035225515,0.05068698035225515,11.04970299745474,4.413778138983955
DKI JAKARTA,2026,mean_years_schooling_lag1,11.600000000000023,-0.033360527868845954,0.033360527868845954,11.04970299745474,4.413778138983955
DKI JAKARTA,2026,expected_years_schooling_lag1,13.639999999999986,-0.03373514621778069,0.03373514621778069,11.04970299745474,4.413778138983955
DKI JAKARTA,2026,log_poverty_line_lag1,13.665831415418218,0.053269075167157696,0.053269075167157696,11.04970299745474,4.413778138983955
GORONTALO,2025,poverty_rate_lag1,14.219999999999999,3.224819142155636,3.224819142155636,11.04970299745474,13.890714061753906
GORONTALO,2025,hdi_lag1,71.25,-0.26341870065325146,0.26341870065325146,11.04970299745474,13.890714061753906
GORONTALO,2025,tpt_lag1,3.065,-0.043635024626393695,0.043635024626393695,11.04970299745474,13.890714061753906
GORONTALO,2025,tpak_lag1,70.69,-0.03970144283070513,0.03970144283070513,11.04970299745474,13.890714061753906
GORONTALO,2025,aps_1315_lag1,91.85,0.19691481582127882,0.19691481582127882,11.04970299745474,13.890714061753906
GORONTALO,2025,mean_years_schooling_lag1,8.64,-0.042226991076225504,0.042226991076225504,11.04970299745474,13.890714061753906
GORONTALO,2025,expected_years_schooling_lag1,13.17,-0.07630480319097989,0.07630480319097989,11.04970299745474,13.890714061753906
GORONTALO,2025,log_poverty_line_lag1,13.082149531257693,-0.11543461478194969,0.11543461478194969,11.04970299745474,13.890714061753906
GORONTALO,2026,poverty_rate_lag1,13.890714061753906,2.911550117581046,2.911550117581046,11.04970299745474,13.622153320842601
GORONTALO,2026,hdi_lag1,71.96500000000003,-0.20187575744302794,0.20187575744302794,11.04970299745474,13.622153320842601
GORONTALO,2026,tpt_lag1,2.9924999999999997,-0.048226499924797404,0.048226499924797404,11.04970299745474,13.622153320842601
GORONTALO,2026,tpak_lag1,72.70749999999953,-0.0881477730145834,0.0881477730145834,11.04970299745474,13.622153320842601
GORONTALO,2026,aps_1315_lag1,91.75000000000001,0.20228931071658346,0.20228931071658346,11.04970299745474,13.622153320842601
GORONTALO,2026,mean_years_schooling_lag1,8.719999999999999,-0.03491926270444589,0.03491926270444589,11.04970299745474,13.622153320842601
GORONTALO,2026,expected_years_schooling_lag1,13.195,-0.057118451393522604,0.057118451393522604,11.04970299745474,13.622153320842601
GORONTALO,2026,log_poverty_line_lag1,13.111134884972216,-0.11110012465349156,0.11110012465349156,11.04970299745474,13.622153320842601
JAMBI,2025,poverty_rate_lag1,7.18,-3.658830921441412,3.658830921441412,11.04970299745474,6.9950116375305535
JAMBI,2025,hdi_lag1,73.73,-0.2506301988426924,0.2506301988426924,11.04970299745474,6.9950116375305535
JAMBI,2025,tpt_lag1,4.515000000000001,-0.02266405710952886,0.02266405710952886,11.04970299745474,6.9950116375305535
JAMBI,2025,tpak_lag1,68.315,-0.03786012898791794,0.03786012898791794,11.04970299745474,6.9950116375305535
JAMBI,2025,aps_1315_lag1,96.01,-0.018523302284379317,0.018523302284379317,11.04970299745474,6.9950116375305535
JAMBI,2025,mean_years_schooling_lag1,9.26,-0.033310858049148774,0.033310858049148774,11.04970299745474,6.9950116375305535
JAMBI,2025,expected_years_schooling_lag1,13.14,-0.07746484573090358,0.07746484573090358,11.04970299745474,6.9950116375305535
JAMBI,2025,log_poverty_line_lag1,13.391026990020245,0.04459461891309781,0.04459461891309781,11.04970299745474,6.9950116375305535
JAMBI,2026,poverty_rate_lag1,6.9950116375305535,-3.6920761167752896,3.6920761167752896,11.04970299745474,7.014614716052886
JAMBI,2026,hdi_lag1,74.28499999999997,-0.24867615248180253,0.24867615248180253,11.04970299745474,7.014614716052886
JAMBI,2026,tpt_lag1,4.309999999999945,0.006784489001138137,0.006784489001138137,11.04970299745474,7.014614716052886
JAMBI,2026,tpak_lag1,68.85500000000002,-0.04516245316296,0.04516245316296,11.04970299745474,7.014614716052886
JAMBI,2026,aps_1315_lag1,95.82000000000005,-0.016438129380173572,0.016438129380173572,11.04970299745474,7.014614716052886
JAMBI,2026,mean_years_schooling_lag1,9.325000000000017,-0.03568848326395782,0.03568848326395782,11.04970299745474,7.014614716052886
