feature,mean_abs_shap,mean_shap,rank
poverty_rate_lag1,4.566310065074387,-0.021701628392779664,1
hdi_lag1,0.37199840640086435,-0.04493593254265501,2
expected_years_schooling_lag1,0.08547730105268281,-0.020888856904756826,3
aps_1315_lag1,0.07444813450741468,-0.0035034263554728196,4
log_poverty_line_lag1,0.05849357583498685,0.0009744487586545317,5
mean_years_schooling_lag1,0.044925359176496836,-0.012799118541935434,6
tpt_lag1,0.04371233573889418,-0.019475970124652724,7
tpak_lag1,0.03553522270085886,-0.004480418427341343,8
