province,year,poverty_rate,fitted_pooled,fitted_fe,fitted_re,resid_fe
SUMATERA UTARA,2021,8.1,9.801254571212226,9.128549415009978,8.734464747177377,0.03957650175614269
SUMATERA BARAT,2021,6.025,10.938349638039547,9.723885145919148,9.300265201211758,0.09518881393225698
RIAU,2021,6.74,7.635524358723856,9.995806668475684,9.730955391467369,-0.0012381775786423077
JAMBI,2021,7.675,9.094904680293261,10.848798685218775,10.641494968145203,0.11483923401091012
SUMATERA SELATAN,2021,11.675,9.821626430724649,11.059908581204418,10.906112826408588,0.23100518159958305
BENGKULU,2021,13.870000000000001,10.547259540907135,10.613629135706304,10.499501087772721,0.2772129603583515
LAMPUNG,2021,11.62,11.121451654077276,11.841299216728487,11.83543505272987,0.35441158679693885
KEP. BANGKA BELITUNG,2021,4.99,8.615373837128544,13.03457860867319,13.254109607065956,-0.0081119959362006
KEP. RIAU,2021,5.45,6.713643683761511,7.2566601462532105,6.18506116552426,-0.007913658928684342
DKI JAKARTA,2021,4.43,-0.23646313602378655,4.530084309573894,2.9564518449063613,-0.17335577685443226
JAWA BARAT,2021,7.74,9.286006422966103,9.590772619967805,8.877356704363372,0.0774133397331287
JAWA TENGAH,2021,10.684999999999999,9.940251096380635,11.091921214571236,10.64393360752274,0.21217880756197083
DI YOGYAKARTA,2021,11.600000000000001,7.87554887176227,5.910531059819171,4.68230307871945,0.5960249930881716
JAWA TIMUR,2021,10.48,9.608325522646432,10.584118525205952,10.018529779257321,0.2722743367005389
BANTEN,2021,6.18,8.027520525261359,9.376720665449653,8.602001749028055,0.06393057145805336
BALI,2021,4.165,7.818904238939545,8.012726432107591,7.146748241147634,-0.14546711509020582
NUSA TENGGARA BARAT,2021,13.025,12.692513610378967,12.119160049494312,12.025634643413767,-0.11272719518078489
NUSA TENGGARA TIMUR,2021,20.005,17.099854393226963,13.786903705441365,14.385047134039823,0.2550424464740306
KALIMANTAN BARAT,2021,6.7,14.262516905588193,13.672413354767379,14.009551114205266,-0.07857888777323829
KALIMANTAN TENGAH,2021,5.21,8.88639520845593,10.820367772167533,10.682790172538091,-0.08663063790033831
KALIMANTAN SELATAN,2021,4.425,8.954561094370455,11.03381377373249,10.875666611513935,-0.07637679225358696
KALIMANTAN TIMUR,2021,6.025,7.642835014318926,8.65290749090537,8.003448345458622,-0.10273936127232375
KALIMANTAN UTARA,2021,6.37,10.307624115413368,12.138920183281744,12.410854788686592,0.09307662670549632
SULAWESI UTARA,2021,7.234999999999999,6.147791415073428,7.929898866674424,7.120416239078892,0.0308153819288961
SULAWESI TENGAH,2021,12.02,12.119526078042007,11.533797790098077,11.811447523572745,0.2131651879744485
SULAWESI SELATAN,2021,8.274999999999999,8.370560386683593,9.203972858490836,8.585490451508853,-0.08714720497859396
SULAWESI TENGGARA,2021,11.145,11.415359115162076,9.330523907671704,9.108887671023936,-0.053137134423698384
GORONTALO,2021,14.739999999999998,10.909650612512756,12.05549383235395,12.199497344277248,-0.10073416638918253
SULAWESI BARAT,2021,11.0,13.752199631565425,12.359973295697007,12.774105398290075,-0.19688577818091169
MALUKU,2021,16.825,12.609390405742467,9.996046905646715,9.93699697422936,0.42965391851597623
MALUKU UTARA,2021,6.46,12.299791996712855,11.312036551406887,11.457624799949023,-0.0390105073432192
PAPUA BARAT,2021,21.465,18.493734715491684,13.219791590357072,14.160249228392232,0.11975078005618478
PAPUA BARAT DAYA,2021,19.395,18.43739363752747,13.144265128966406,14.066097171321609,0.3279625712886247
