variable,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,significant
const,-0.3062683310090232,17.51399337713077,-0.01748706445264156,0.9860809253097824,-34.633695350185334,34.02115868816729,False
hdi,-0.43619096953077824,0.15026363688418506,-2.9028378294009363,0.004499469619430485,-0.730707697823781,-0.1416742412377755,True
tpt,-0.06483579953967046,0.0520343017981906,-1.2460203615516756,0.21550380742491937,-0.16682303106412405,0.037151431984783115,False
tpak,0.020149763880208227,0.025196146810963233,0.7997160848197928,0.4256638254375238,-0.029234683869279708,0.06953421162969617,False
aps_1315,-0.03284692146633981,0.07952758925543835,-0.4130254893158808,0.6804222300554619,-0.18872099640699896,0.12302715347431936,False
mean_years_schooling,-1.3655987640675809,0.1037997856333268,-13.156084627106694,0.0,-1.5690463439089013,-1.1621511842262604,True
expected_years_schooling,-0.013437219797942955,0.10606396365370761,-0.12668977600926418,0.8994259439216312,-0.2213225885592099,0.19444814896332396,False
log_poverty_line,4.329201895813218,1.835143724799127,2.359053319536097,0.02015349641677444,0.7323201952069289,7.926083596419506,True
