year,province,poverty_rate,local_moran_i,p_value,quadrant,significant,lon,lat
2022,PAPUA,22.325,3.2252125956379682,0.001,HH,True,138.379,-4.269
2022,PAPUA BARAT,21.21,2.6228441862980416,0.001,HH,True,133.173,-1.336
2022,PAPUA BARAT DAYA,19.14,0.7773895199060372,0.053,NS,False,131.5,-1.5
2022,PAPUA PEGUNUNGAN,28.11,4.452960136305439,0.001,HH,True,138.6,-4.0
2022,PAPUA SELATAN,22.955,3.374095742087085,0.001,HH,True,138.5,-6.5
2022,PAPUA TENGAH,27.08,4.257253967724132,0.001,HH,True,136.5,-3.5
2022,RIAU,6.57,0.35442409351429377,0.1,NS,False,101.447,0.293
2022,SULAWESI BARAT,11.23,0.0004259730603856467,0.346,NS,False,119.313,-2.84
2022,SULAWESI SELATAN,8.2,0.049860233848525316,0.424,NS,False,120.19,-3.668
2022,SULAWESI TENGAH,11.684999999999999,-0.008770510639017834,0.416,NS,False,121.445,-1.431
2022,SULAWESI TENGGARA,10.9,-0.01458857849071916,0.238,NS,False,122.39,-4.145
2022,SULAWESI UTARA,6.99,-0.05994860641105036,0.394,NS,False,124.841,0.632
2022,SUMATERA BARAT,5.67,0.39922492433637913,0.118,NS,False,100.355,-0.744
2022,SUMATERA SELATAN,11.205,0.0024427773047910827,0.178,NS,False,104.761,-3.319
2022,SUMATERA UTARA,7.805,0.2794990249937084,0.089,NS,False,98.672,2.115
2023,ACEH,13.545,-0.2655427798030377,0.019,HL,True,95.317,4.695
2023,BALI,4.025,0.26575738193214143,0.247,NS,False,115.188,-8.409
2023,BANTEN,5.9350000000000005,0.4287456728215874,0.071,NS,False,106.064,-6.406
2023,BENGKULU,13.28,-0.16099654832272345,0.113,NS,False,102.346,-3.8
2023,DI YOGYAKARTA,10.719999999999999,0.03632795559743755,0.08,NS,False,110.365,-7.8
2023,DKI JAKARTA,4.29,0.5421118709523683,0.078,NS,False,106.845,-6.208
2023,GORONTALO,14.51,-0.10572090362579069,0.34,NS,False,122.446,0.541
2023,JAMBI,7.42,0.24587065187470925,0.128,NS,False,102.437,-1.609
2023,JAWA BARAT,7.35,0.24832316928191525,0.138,NS,False,107.619,-6.902
2023,JAWA TENGAH,10.175,0.08061497302805691,0.086,NS,False,110.165,-7.15
2023,JAWA TIMUR,9.955,0.07794806433047896,0.144,NS,False,112.752,-7.536
2023,KALIMANTAN BARAT,6.48,0.4110049950948848,0.06,NS,False,109.697,-0.023
2023,KALIMANTAN SELATAN,4.154999999999999,0.5141393553251753,0.092,NS,False,115.283,-3.093
2023,KALIMANTAN TENGAH,5.1850000000000005,0.6322506300261096,0.018,LL,True,113.941,-1.681
2023,KALIMANTAN TIMUR,5.8100000000000005,0.44844493009767805,0.067,NS,False,116.419,1.681
2023,KALIMANTAN UTARA,5.915,0.37280754294464735,0.107,NS,False,116.593,3.073
2023,KEPULAUAN BANGKA BELITUNG,4.8,0.4857382453366228,0.087,NS,False,106.116,-2.741
2023,KEPULAUAN RIAU,5.235,0.5675043787719926,0.039,LL,True,104.03,0.921
