year,n_province,moran_i,expected_i,z_score,p_value,p_sim,significant
2021,37,0.6408696700830824,-0.027777777777777776,7.4432734229369695,9.822049749067578e-14,0.001,True
2022,38,0.6408736075732825,-0.02702702702702703,7.544859180391156,4.5277647618274554e-14,0.001,True
2023,38,0.6384484205715084,-0.02702702702702703,7.517463347139027,5.584920855297258e-14,0.001,True
2024,38,0.578219575349376,-0.02702702702702703,6.837095441708752,8.081490409710067e-12,0.001,True
