"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1606439844699582464","2022-12-24T01:35:20.000Z","14","@UmarHasibuan77 @panca66 Membandingkan Pemerintahan SBY dan Jokowi sangat tidak layak bila pendekatannya dengan survey, biarkan data yg bicara, berupa pertumbuhan ekonomi, rasio utang, realisasi eksport import, persentase penduduk miskin, pengangguran, index demokrasi dll.","1606463503673413632","","UmarHasibuan__","in","","0","0","4","https://x.com/Ontowirjobendor/status/1606463503673413632","221404563","Ontowirjobendor"
"1606252226749509633","2022-12-23T11:35:48.000Z","461","Gimana caranya persentase penduduk miskin, angka ketimpangan, angka pengangguran, dan indikator-indikator lain terkait kependudukan dikeluarkan setiap tahunnya oleh BPS?

It comes down to SAMPLING!

Why it matters dan apa aja tipe-tipenya? Yuk disimak! https://t.co/wooPbrvcLk","1606252226749509633","https://pbs.twimg.com/media/FkqNweUVQAAUc5J.jpg","","in","","7","1","88","https://x.com/pacmannai/status/1606252226749509633","824984727597707265","pacmannai"
"1605050105631068166","2022-12-20T03:59:00.000Z","2","Indah Putri Indriani Berhasil Tingkatkan IPM Dan Tekan Persentase Penduduk Miskin Di Luwu Utara
#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #golkarsolid #AirlanggaPresiden
https://t.co/2Z2qkHgXLK","1605050105631068166","","","in","","0","0","6","https://x.com/golkarpedia/status/1605050105631068166","721898354502930433","golkarpedia"
"1603954554667782144","2022-12-17T03:25:40.000Z","9","Luwu Utara di Bawah Indah Putri Indriani: IPM Naik, Persentase Penduduk Miskin Turun https://t.co/Wi5gTa5aem","1603954554667782144","","","in","","0","0","10","https://x.com/politiknesiacom/status/1603954554667782144","1953620240","politiknesiacom"
"1602893584541552641","2022-12-14T05:37:24.000Z","3","BPS Rilis Persentase Penduduk Miskin di Sumut, Terbanyak di Mana Ya? 

https://t.co/BiumypuzGG 
..","1602900541364912128","","moesa_jp02","in","","0","0","0","https://x.com/moesa_jp02/status/1602900541364912128","1211445770341113856","moesa_jp02"
"1602183207004143618","2022-12-12T06:06:58.000Z","21","Persentase penduduk miskin di Jateng ini konsisten kedua tertinggi di Pulau Jawa, di bawah DIY","1602183207004143618","","","in","","0","1","12","https://x.com/ObiWan_Catnobi/status/1602183207004143618","371261655","ObiWan_Catnobi"
"1600450908613398528","2022-12-07T11:23:26.000Z","2","Bencana Covid. Pak Anies bisa menekan kenaikan penduduk miskin dari 3,78% menjadi 4,69% di Jakarta. Program bantuan tepat ke masyarakat. Bandingkan persentase tingkat kemiskinan di Indonesia, saat Covid. Dari angka 9,22 % naik menjadi 10,19% sebanyak 2,76 jt jiwa. (Data BPS).","1600450908613398528","","","in","","0","0","0","https://x.com/IrawanRommi/status/1600450908613398528","1348987504985133057","IrawanRommi"
"1599784173744533506","2022-12-06T09:32:33.000Z","0","@preedicamennt @otongkoil Urutan berdasarkan persentase penduduk miskin terhadap populasi.

1. NTT : 20.9 %
2. Sumatera Selatan : 12.4 %
3. Sumatera Utara : 10.6 %
4. Jawa Tengah : 10.2 %
5. Jawa Timur : 10.1 %
6. Jawa Barat : 8.3 %","1600060618249502720","","","in","","0","1","0","https://x.com/Himotherfather_/status/1600060618249502720","1452051781110796288","Himotherfather_"
"1598642544354955269","2022-12-02T11:37:39.000Z","0","Adakah yang bisa menjelaskan, angka pertumbuhan ekonomi ini dengan persentase penduduk miskin per kabupaten kota di Malut dimana wilayah-wilayah pertambangan nikel (Haltim dan Halteng) merupakn kabupaten dengan penduduk miskin no 1 dan 2 di Maluku Utara (data BPS 2020-2022).","1598642546582097920","","supriyadi_sawai","in","","0","1","0","https://x.com/supriyadi_sawai/status/1598642546582097920","4831867943","supriyadi_sawai"
"1598603376291614720","2022-12-02T09:02:00.000Z","0","Jadi penduduk miskin adalah penduduk yang memiliki rata-rata pengeluaran perkapita perbulan dibawah garis kemiskinan.

Persentase penduduk miskin Kota Pekalongan mengalami penurunan dari tahun 2021 yang sebesar 7,59 persen menjadi 7,00 persen pada tahun 2022.","1598603378828857345","","bpspklkota","in","","0","0","0","https://x.com/bpspklkota/status/1598603378828857345","966865648042131456","bpspklkota"
