"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2019861175325061574","2026-02-06T19:50:06.000Z","0","Persentase Penduduk Miskin Provinsi Gorontalo Menurun via @darilautID https://t.co/PyLJ1ePZ5i","2019861175325061574","","","in","","0","0","0","https://x.com/verrianto_m/status/2019861175325061574","285553204","verrianto_m"
"2019709736938012941","2026-02-06T09:48:20.000Z","0","Persentase penduduk miskin di Jakarta turun menjadi 4,03 persen pada September 2025. Namun, standar biaya hidup minimal atau Garis Kemiskinan melonjak 5,28 persen. #Metropolitan #AdadiKompas

https://t.co/K2DVAkCmW5","2019709736938012941","","","in","","0","0","0","https://x.com/hariankompas/status/2019709736938012941","255866913","hariankompas"
"2019709012686540855","2026-02-06T09:45:27.000Z","0","Persentase penduduk miskin di Jakarta turun menjadi 4,03 persen pada September 2025. Namun, standar biaya hidup minimal atau Garis Kemiskinan melonjak 5,28 persen. #Metropolitan #AdadiKompas

https://t.co/iYKhxze1h6","2019709012686540855","","","in","","0","0","1","https://x.com/kompasmuda/status/2019709012686540855","79237556","kompasmuda"
"2019606829022720234","2026-02-06T02:59:25.000Z","2","lah kan emang programnya pemerenta..
MBG ini salah satu langkah untuk mengurangi kemiskinan dengan memberantas rakyat miskin itu sendiri.. 💁🏻

ingat, persentase rakyat miskin = jumlah rakyat miskin/jumlah total penduduk. kalo rakyat miskinnya diberantas, persetase turun, paman","2019606829022720234","","","in","","0","0","0","https://x.com/itsme_freyaa/status/2019606829022720234","357308656","itsme_freyaa"
"2019455464409555007","2026-02-05T16:57:57.000Z","0","Ekonomi Banten Menguat. Kerja Terserap. Kemiskinan Menurun

Indikator sosial ekonomi Provinsi Banten tahun 2025 menunjukkan tren positif. Data BPS mencatat kemiskinan menurun, penyerapan tenaga kerja meningkat, dan ekonomi daerah tumbuh stabil.

Persentase penduduk miskin turun https://t.co/ECNwjFoT1t","2019455464409555007","https://pbs.twimg.com/media/HAaMCsKacAMTXXz.jpg","","in","","0","0","0","https://x.com/banten_pemprov/status/2019455464409555007","1218018635362402304","banten_pemprov"
"2019375796427846124","2026-02-05T11:43:03.000Z","0","Persentase penduduk miskin turun menjadi 3,42 persen pada September 2025 atau sekitar 160,09 ribu orang. Meskipun demikian, Indeks Kedalaman Kemiskinan (P1) tercatat meningkat menjadi 0,579 dan Indeks Keparahan Kemiskinan (P2) meningkat menjadi 0,134. https://t.co/1vwO5xepKi","2019376219159138774","https://pbs.twimg.com/media/HAZD9SnacAAlm-2.jpg","bpsprovbali","in","","0","1","0","https://x.com/bpsprovbali/status/2019376219159138774","554943457","bpsprovbali"
"2019346810826027087","2026-02-05T09:46:40.000Z","0","Kemiskinan Terus Menurun: Persentase penduduk miskin Jawa Tengah pada September 2025 tercatat 9,39%, turun 0,09 persen poin dibanding Maret 2025 dan 0,19 persen poin dibanding September 2024. https://t.co/wuC8yMi8rZ","2019346930313380149","https://pbs.twimg.com/media/HAYpUxTacAMAnrs.jpg","bpsprovjateng","in","","0","1","0","https://x.com/bpsprovjateng/status/2019346930313380149","700923330681909249","bpsprovjateng"
"2019340662555177058","2026-02-05T09:21:46.000Z","0","Sampurasun Wargi Sosial
Kabar baik untuk Jawa Barat

Per September 2025, persentase penduduk miskin turun menjadi 6,78% atau setara dengan 3,55 juta jiwa. Kolaborasi pemerintah, masyarakat, dan berbagai pihak ini harus terus dilanjutkan dan tentunya ikhtiar bersama https://t.co/DzaFMXXh8M","2019340662555177058","https://pbs.twimg.com/media/HAYjnYVacAUabt3.jpg","","in","","0","3","0","https://x.com/dinsosjabar/status/2019340662555177058","1448034451","dinsosjabar"
"2019153002758828192","2026-02-04T20:56:04.000Z","144","“Sudah ada Sekolah Rakyat”

Persentase penduduk miskin nasional 2025 (BPS): 8,47%
Jumlah anak usia sekolah (5-19) 2025 (BPS): 66jt
Asumsi jumlah anak di keluarga miskin: 5,59jt

Jumlah sekolah rakyat yg sudah diresmikan (semua jenjang): 166
Jumlah siswa sekolah rakyat: 15.954 https://t.co/D1rxE94OVw","2019153002758828192","https://pbs.twimg.com/media/HAV48nVasAAQvhT.jpg","","in","","4","1","33","https://x.com/lhogabahayatahh/status/2019153002758828192","79162151","lhogabahayatahh"
"2016006490247856473","2026-01-27T10:37:49.000Z","0","@davidsunarna Memang dirancang tetap bodoh dan miskin, coba liat persentase penduduk miskinnya kan di sekitar 60%. Tau lah persentase segitu berguna buat event apa dan siapa aja kan 🤭","2016098311145717967","","davidsunarna","in","","0","1","0","https://x.com/SMandasia/status/2016098311145717967","3695397318","SMandasia"
