conversation_id_str,waktu,like,teks,tweet_id,image_url,in_reply_to_screen_name,bahasa,location,quote,reply,retweet,tweet_url,user_id_str,username,tahun_scraping,tahun,bulan,tanggal
1950408248055779707,2025-07-30 11:11:36+07:00,0,"Badan Pusat Statistik (BPS) melaporkan bahwa per Maret 2025, 
persentase penduduk miskin turun menjadi 8.47% (sekitar 23.85 juta jiwa), 
dari sebelumnya 8.57% pada September 2024 (sekitar 24 juta jiwa).

https://t.co/g2xlcoDMXz",1950408915310825600,,txtangkringan,in,,0,1,0,https://x.com/txtangkringan/status/1950408915310825600,1489658156989190144,txtangkringan,2025,2025,7,2025-07-30
1950032371517915625,2025-07-29 10:15:21+07:00,0,"Ekonom Sebut Persentase Penurunan Penduduk Miskin DIY Relatif Lambat, Ini Penyebabnya https://t.co/HBMtQlSZaP https://t.co/PhOudH1tvK",1950032371517915625,https://pbs.twimg.com/media/Gw_oG6nXwAAlvqb.jpg,,in,,0,0,0,https://x.com/Harian_Jogja/status/1950032371517915625,118371948,Harian_Jogja,2025,2025,7,2025-07-29
1950019631160467843,2025-07-29 09:24:44+07:00,1,"10 Provinsi dengan Tingkat Kemiskinan Tertinggi 2025, Pulau Jawa Mendominasi

Badan Pusat Statistik (BPS) merilis daftar provinsi dengan tingkat kemiskinan tertinggi pada 2025, baik dari segi jumlah maupun persentase.  

Berdasarkan laporan BPS, Jumat (25/7/2025), persentase https://t.co/uu7suhLhR1",1950019631160467843,https://pbs.twimg.com/amplify_video_thumb/1950018164018069504/img/MZN4cVonMNlQEuHS.jpg,,in,,0,1,0,https://x.com/kompascom/status/1950019631160467843,23343960,kompascom,2025,2025,7,2025-07-29
1949957426066624969,2025-07-29 05:17:33+07:00,0,"Data BPS Maret 2025 menunjukkan, persentase dan jumlah penduduk miskin turun, demikian pula kemiskinan ekstrem dan ketimpangan. Benarkah itu dirasakan masyarakat? #Tajuk #AdadiKompas

https://t.co/1Lhm7T8IaV",1949957426066624969,,,in,,0,0,0,https://x.com/KompasData/status/1949957426066624969,771030588,KompasData,2025,2025,7,2025-07-29
1949956670701912133,2025-07-29 05:14:33+07:00,2,"Data BPS Maret 2025 menunjukkan, persentase dan jumlah penduduk miskin turun, demikian pula kemiskinan ekstrem dan ketimpangan. Benarkah itu dirasakan masyarakat? #Tajuk #AdadiKompas

https://t.co/5z6Vl9HP1Y",1949956670701912133,,,in,,1,0,0,https://x.com/hariankompas/status/1949956670701912133,255866913,hariankompas,2025,2025,7,2025-07-29
1949820310967976144,2025-07-28 20:12:53+07:00,0,"Secara absolut, terdapat 425,82 ribu penduduk miskin. Persentase penduduk miskin di perkotaan sebesar 10,16 persen, sedangkan di perdesaan sebesar 11,46 persen.

Garis kemiskinan pada Maret 2025 tercatat sebesar Rp 626.363/kapita/bulan. https://t.co/stLfrzSfiY",1949820357021663656,https://pbs.twimg.com/media/Gw8nRGVbIAAZ-Fb.jpg,bpsprovdiy,in,,0,1,0,https://x.com/bpsprovdiy/status/1949820357021663656,1818211529143324672,bpsprovdiy,2025,2025,7,2025-07-28
1949820310967976144,2025-07-28 20:12:42+07:00,0,"Persentase Penduduk Miskin dan Ketimpangan Pengeluaran DIY Maret 2025 Turun 

#Sahabatdata, BPS mencatat persentase penduduk miskin DIY pada Maret 2025 sebesar 10,23 persen, atau turun 0,17 persen poin dibandingkan September 2024. https://t.co/mYvAO0a2Vq",1949820310967976144,https://pbs.twimg.com/media/Gw8nPBWaIAAt7-3.jpg,,in,,0,1,0,https://x.com/bpsprovdiy/status/1949820310967976144,1818211529143324672,bpsprovdiy,2025,2025,7,2025-07-28
1949786916368646183,2025-07-28 18:26:18+07:00,0,"@tempodotco Tolong buat berdasarkan jumlah penduduk miskin terbanyak per provinsi, bukan berdasarkan persentase",1949793532337938460,,tempodotco,in,,0,1,0,https://x.com/guesihya/status/1949793532337938460,1175214437596221440,guesihya,2025,2025,7,2025-07-28
1949750800756187341,2025-07-28 15:36:30+07:00,0,10 Provinsi dengan Persentase Penduduk Miskin Tertinggi https://t.co/8IpRhAXQhR,1949750800756187341,,,in,,0,0,0,https://x.com/detikkalimantan/status/1949750800756187341,1902243031878922240,detikkalimantan,2025,2025,7,2025-07-28
1949742319827300539,2025-07-28 15:02:48+07:00,0,"BPS: Persentase Penduduk Miskin Turun jadi 8,47 Persen pada Maret 2025
https://t.co/dQJryHqrVr",1949742319827300539,,,in,,0,0,0,https://x.com/radarsumbarcom/status/1949742319827300539,1406534413240786947,radarsumbarcom,2025,2025,7,2025-07-28
1949726517849985170,2025-07-28 14:00:00+07:00,3,"BPS mengumumkan bahwa jumlah penduduk miskin di Indonesia pada Maret 2025 mencapai 23,85 juta orang. Angka ini menunjukkan penurunan tipis dibandingkan periode sebelumnya dan merupakan yang terendah dalam dua dekade terakhir. Persentase penduduk miskin terhadap total populasi https://t.co/sEjElwCTjH",1949726517849985170,https://pbs.twimg.com/amplify_video_thumb/1949716767909294080/img/atNUbuFdRb0WRBsb.jpg,,in,,0,0,1,https://x.com/Metro_TV/status/1949726517849985170,57261519,Metro_TV,2025,2025,7,2025-07-28
1949470597068779773,2025-07-27 21:03:08+07:00,0,"RIlis dilaksanakan secara daring melalui kanal Youtube BPS Provinsi Jawa Tengah.

Persentase penduduk miskin pada Maret 2025 sebesar 9,48 persen, mengalami penurunan, yaitu 0,10 persen poin dibanding September 2024 dan 0,99 persen poin dibanding Maret 2024. https://t.co/5Q0JrkpoyK",1949470613695062452,https://pbs.twimg.com/media/Gw3pL0DbEAAxAv1.jpg,bpsprovjateng,in,,0,1,0,https://x.com/bpsprovjateng/status/1949470613695062452,700923330681909249,bpsprovjateng,2025,2025,7,2025-07-27
